"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",153.38984,-29.93044,NA,"Paracanthurus hepatus"
"gbif",153.266047,-30.206662,NA,"Paracanthurus hepatus"
"gbif",145.79122,15.27353,10,"Paracanthurus hepatus"
"obis",145.8288851,15.26122497,15.6,"Paracanthurus hepatus"
"obis",145.658422,15.07773262,13,"Paracanthurus hepatus"
"obis",-156.4530029,20.9260006,NA,"Paracanthurus hepatus"
"obis",145.6300411,14.93154427,11,"Paracanthurus hepatus"
"obis",-176.4888638,0.19155691,6.35,"Paracanthurus hepatus"
"obis",145.5690495,14.84715686,13,"Paracanthurus hepatus"
"obis",106.836998,-6.078999996,NA,"Paracanthurus hepatus"
"obis",144.6438548,13.23037114,12,"Paracanthurus hepatus"
"obis",-174.07435,-18.67166667,7,"Paracanthurus hepatus"
"obis",145.5659106,14.84365985,22,"Paracanthurus hepatus"
"obis",145.8006952,15.28129066,11,"Paracanthurus hepatus"
"obis",-170.5473913,-14.27903046,13,"Paracanthurus hepatus"
"obis",145.6561005,15.06957184,12,"Paracanthurus hepatus"
"obis",145.7202338,15.10522527,22,"Paracanthurus hepatus"
"obis",145.2608985,14.2014619,11.2,"Paracanthurus hepatus"
"obis",145.832176,15.26880783,23,"Paracanthurus hepatus"
"obis",-176.4610198,0.18724199,23,"Paracanthurus hepatus"
"obis",145.65793,15.08659439,20,"Paracanthurus hepatus"
"obis",145.6742344,15.00330736,21.6,"Paracanthurus hepatus"
"obis",-176.4866443,0.19495561,7,"Paracanthurus hepatus"
"obis",145.8027198,15.28295497,15.4,"Paracanthurus hepatus"
"obis",145.6194241,14.95246483,27,"Paracanthurus hepatus"
"obis",145.2608985,14.2014619,11.6,"Paracanthurus hepatus"
"obis",145.7502239,15.09128264,25.7,"Paracanthurus hepatus"
"obis",145.78762,15.17602,15,"Paracanthurus hepatus"
"obis",145.5800492,14.86491719,20,"Paracanthurus hepatus"
"obis",-169.6105979,-14.15186349,17.8,"Paracanthurus hepatus"
"obis",127.3111083,-8.41564067,2.7,"Paracanthurus hepatus"
"obis",37.90620041,-0.023559101,NA,"Paracanthurus hepatus"
"obis",145.6300411,14.93154427,12,"Paracanthurus hepatus"
"obis",145.6962937,15.11636314,8.8,"Paracanthurus hepatus"
"obis",-169.5195418,-14.22406848,9,"Paracanthurus hepatus"
"obis",145.8273128,15.27665438,9.7,"Paracanthurus hepatus"
"obis",145.5867157,15.00424345,3,"Paracanthurus hepatus"
"obis",-176.457306,0.19031019,18.95,"Paracanthurus hepatus"
"obis",-176.4610198,0.18724199,21,"Paracanthurus hepatus"
"obis",-176.6267141,0.82089929,13.5,"Paracanthurus hepatus"
"obis",178.379,-18.1486,1.8,"Paracanthurus hepatus"
"obis",120.4789963,14.24600029,NA,"Paracanthurus hepatus"
"obis",145.832176,15.26880783,20,"Paracanthurus hepatus"
"obis",145.6962937,15.11636314,7.2,"Paracanthurus hepatus"
"obis",145.7517667,15.25421667,3,"Paracanthurus hepatus"
"obis",144.6438548,13.23037114,11.4,"Paracanthurus hepatus"
"obis",145.8146288,15.25671409,5.5,"Paracanthurus hepatus"
"obis",79.80799866,7.117000103,NA,"Paracanthurus hepatus"
"obis",145.6517232,14.93494389,17.05,"Paracanthurus hepatus"
"obis",127.309,-8.418,4.6,"Paracanthurus hepatus"
"obis",-170.6788504,-14.241373,9.4,"Paracanthurus hepatus"
"obis",145.8319069,15.26883633,19.4,"Paracanthurus hepatus"
"obis",145.8273128,15.27665438,9.6,"Paracanthurus hepatus"
"obis",-176.4862,0.197,9,"Paracanthurus hepatus"
"obis",-176.4888638,0.19155691,6.85,"Paracanthurus hepatus"
"obis",145.5972048,15.05560893,21,"Paracanthurus hepatus"
"obis",-176.6267816,0.82246587,15.95,"Paracanthurus hepatus"
"obis",-170.5488229,-14.27857289,8.5,"Paracanthurus hepatus"
"obis",-176.457306,0.19031019,19.2,"Paracanthurus hepatus"
"obis",-169.6105979,-14.15186349,18,"Paracanthurus hepatus"
"obis",145.8146288,15.25671409,5.3,"Paracanthurus hepatus"
"obis",145.7935438,15.2756939,20,"Paracanthurus hepatus"
"obis",127.3202945,-8.44650786,10.15,"Paracanthurus hepatus"
"obis",145.8319069,15.26883633,20,"Paracanthurus hepatus"
"obis",145.7851077,15.2698445,21.2,"Paracanthurus hepatus"
"obis",-176.4888142,0.19074119,10,"Paracanthurus hepatus"
"obis",145.8297087,15.27518922,21.5,"Paracanthurus hepatus"
"obis",145.7671863,16.71050205,21,"Paracanthurus hepatus"
"obis",-170.6788504,-14.241373,9.3,"Paracanthurus hepatus"
"obis",127.309,-8.418,5,"Paracanthurus hepatus"
"obis",145.7234079,15.25597095,12.5,"Paracanthurus hepatus"
"obis",145.811546,18.14965353,21.95,"Paracanthurus hepatus"
"obis",145.6517232,14.93494389,15,"Paracanthurus hepatus"
"obis",141.285833,24.800833,NA,"Paracanthurus hepatus"
"obis",145.6767676,18.81122164,23,"Paracanthurus hepatus"
"obis",-162.426737,6.38246127,9.9,"Paracanthurus hepatus"
"obis",-176.485,0.1989,12,"Paracanthurus hepatus"
"obis",-170.5488229,-14.27857289,9.7,"Paracanthurus hepatus"
"obis",-170.5050989,-14.27325441,22.2,"Paracanthurus hepatus"
"obis",-66.8902,11.7946,10,"Paracanthurus hepatus"
"obis",125.219306,-8.60471914,3.1,"Paracanthurus hepatus"
"obis",-176.4866949,0.1954804,12.5,"Paracanthurus hepatus"
"obis",127.1033338,-8.36278866,9.75,"Paracanthurus hepatus"
"obis",145.79122,15.27353,14,"Paracanthurus hepatus"
"obis",141.290833,24.7975,NA,"Paracanthurus hepatus"
"obis",145.8153,17.60753,11,"Paracanthurus hepatus"
"obis",-170.5454785,-14.28520977,9.5,"Paracanthurus hepatus"
"obis",145.4091422,19.6758593,12,"Paracanthurus hepatus"
"obis",-162.426737,6.38246127,9.6,"Paracanthurus hepatus"
"obis",145.701895,15.11062891,23,"Paracanthurus hepatus"
"obis",-176.48273,0.1882,11,"Paracanthurus hepatus"
"obis",145.7055241,18.0495721,20,"Paracanthurus hepatus"
